language,model,base_model,method,context_source,weighted,weight_score,estimator,noun_gap_reduction_mean,noun_gap_reduction_std,occ_gap_preservation_mean,occ_gap_preservation_std,tradeoff_gmean_mean,tradeoff_gmean_std,tradeoff_hmean_mean,tradeoff_hmean_std
french,french_camembert,french_camembert,Controlled-mean-weighted,Controlled,True,mean_abs,Centroid,0.8997452526508815,0.021319882795806277,0.8507240830126219,0.0065967215631962854,0.8748068536201151,0.007370087198502078,0.8743793506847604,0.007046165568113207
french,french_camembert,french_camembert,Controlled-mean-weighted,Controlled,True,mean_abs,LDA,0.39136097102551387,0.013692911559511264,0.9451296454683351,0.0007381222709461809,0.608106836701126,0.010549508572141006,0.5534045770388923,0.013666943975059177
french,french_camembert,french_camembert,Controlled-mean-weighted,Controlled,True,mean_abs,LinearSVC,0.7211194011228266,0.018782974429102362,0.9096979928522554,0.0014642855242354101,0.8098811254996164,0.01036206255821575,0.804392598843388,0.011541817853515093
french,french_camembert,french_camembert,Controlled-median-weighted,Controlled,True,median_abs,Centroid,0.905147028052603,0.02162379627513668,0.8493055226922938,0.007031788235912233,0.8766934200084716,0.007274636606223613,0.8761610397423105,0.0068813376897156235
french,french_camembert,french_camembert,Controlled-median-weighted,Controlled,True,median_abs,LDA,0.39165101461144064,0.013577127949693983,0.9450853923652737,0.0008001162249456008,0.6083194367039735,0.010455041739919306,0.553689182492932,0.013537785504345787
french,french_camembert,french_camembert,Controlled-median-weighted,Controlled,True,median_abs,LinearSVC,0.7223774326920628,0.018734947280558176,0.9093272619731554,0.0015583786914444625,0.8104224724419437,0.010313968336136568,0.8050302621697958,0.011476415484009017
french,french_camembert,french_camembert,Controlled-unweighted,Controlled,False,none,Centroid,0.9893361853501774,0.006789465472092452,0.7840458508481467,0.006126682171448824,0.8807168367274294,0.0036517289096083165,0.8747832563056882,0.003754942296335512
french,french_camembert,french_camembert,Controlled-unweighted,Controlled,False,none,LDA,0.4046800710357227,0.013886340794163518,0.9406034054718997,0.0007445557546734403,0.6168889197294021,0.010516239389670112,0.5657789909285909,0.013554340495779584
french,french_camembert,french_camembert,Controlled-unweighted,Controlled,False,none,LinearSVC,0.7358044453726216,0.018161417691223522,0.9033782421454246,0.001821937694665255,0.8152452001726413,0.009903340613976937,0.8109232065134944,0.010897703579686722
french,french_camembert,french_camembert,Natural-mean-weighted,Natural,True,mean_abs,Centroid,0.8486804312011857,0.02273415415247566,0.8324873678842604,0.008777736413835101,0.8404383602918104,0.00824221508852724,0.8402928696030086,0.008088144489796521
