language,model,base_model,method,context_source,weighted,weight_score,estimator,noun_gap_reduction_mean,noun_gap_reduction_std,occ_gap_preservation_mean,occ_gap_preservation_std,tradeoff_gmean_mean,tradeoff_gmean_std,tradeoff_hmean_mean,tradeoff_hmean_std
french,french_camembert,french_camembert,Controlled-mean-weighted,Controlled,True,mean_abs,Centroid,0.8997452526508815,0.021319882795806277,0.8507240830126219,0.0065967215631962854,0.8748068536201151,0.007370087198502078,0.8743793506847604,0.007046165568113207
french,french_camembert,french_camembert,Controlled-median-weighted,Controlled,True,median_abs,Centroid,0.905147028052603,0.02162379627513668,0.8493055226922938,0.007031788235912233,0.8766934200084716,0.007274636606223613,0.8761610397423105,0.0068813376897156235
french,french_camembert,french_camembert,Controlled-unweighted,Controlled,False,none,Centroid,0.9893361853501774,0.006789465472092452,0.7840458508481467,0.006126682171448824,0.8807168367274294,0.0036517289096083165,0.8747832563056882,0.003754942296335512
french,french_camembert,french_camembert,Natural-mean-weighted,Natural,True,mean_abs,Centroid,0.8486804312011857,0.02273415415247566,0.8324873678842604,0.008777736413835101,0.8404383602918104,0.00824221508852724,0.8402928696030086,0.008088144489796521
french,french_camembert,french_camembert,Natural-median-weighted,Natural,True,median_abs,Centroid,0.8543797108562569,0.02468024936608797,0.8322120872162916,0.009768194326121712,0.8430935925473589,0.008490283968022082,0.842891380156568,0.00827905802435966
french,french_camembert,french_camembert,Natural-unweighted,Natural,False,none,Centroid,0.9816691082562998,0.0149370537492905,0.729463128654171,0.007268544131227842,0.8461988460330522,0.00834885861472633,0.836935156083108,0.007901651137312529
french,multilingual_mbert,multilingual_mbert,Controlled-mean-weighted,Controlled,True,mean_abs,Centroid,0.9214990016345684,0.0360682062155825,0.7869245573709659,0.0026144571624473574,0.851407451810046,0.01556315828477038,0.8486140729518935,0.014155319963948514
french,multilingual_mbert,multilingual_mbert,Controlled-median-weighted,Controlled,True,median_abs,Centroid,0.9154075518526159,0.037133249930762245,0.7885338554307593,0.0026781639448439963,0.8494436959917847,0.015986743407722465,0.8469258921382006,0.014596081996464574
french,multilingual_mbert,multilingual_mbert,Controlled-unweighted,Controlled,False,none,Centroid,0.9675290578614119,0.02149321325812832,0.7666760063543631,0.0034647360345076267,0.8612146444450843,0.00876017540757725,0.8553681594283455,0.007546651278218921
french,multilingual_mbert,multilingual_mbert,Natural-mean-weighted,Natural,True,mean_abs,Centroid,0.8825242916647579,0.038809988736359144,0.7747621562665874,0.0023082931523864068,0.8267174380597686,0.017432151663505837,0.8247977255818737,0.016113708405421576
french,multilingual_mbert,multilingual_mbert,Natural-median-weighted,Natural,True,median_abs,Centroid,0.8722410424483338,0.03995075247193719,0.777805684104315,0.0022673813380313067,0.8234822932529486,0.0179215983598199,0.8219454655724518,0.0167031126291732
french,multilingual_mbert,multilingual_mbert,Natural-unweighted,Natural,False,none,Centroid,0.9568294873654658,0.007015642454739541,0.7424049862725781,0.0033663500685882793,0.8428156922884131,0.002368760043349538,0.8360689005468798,0.0020979888823880184
french,multilingual_xlmr,multilingual_xlmr,Controlled-mean-weighted,Controlled,True,mean_abs,Centroid,0.9784292646142282,0.013521227261434286,0.7595695772475078,0.006906576201890923,0.8620562671161156,0.00683481460881936,0.8551693365140987,0.006465068224868962
